,region,housing_type,consumption
300,River Valley,3-room,-1.0
301,River Valley,Private Housing,260.2178947368375
302,River Valley,1-room / 2-room,-1.0
303,River Valley,Overall,261.35684210526233
304,River Valley,Private Apartments and Condominiums,259.1073684210569
305,River Valley,4-room,-1.0
306,Mandai,Public Housing,-1.0
307,Mandai,5-room and Executive,-1.0
308,Mandai,Landed Properties,990.9336842105263
309,Mandai,3-room,-1.0
310,Mandai,Private Housing,658.4178947368421
311,Mandai,1-room / 2-room,-1.0
312,Mandai,Overall,658.12
313,Mandai,Private Apartments and Condominiums,587.9126315789472
314,Mandai,4-room,-1.0
315,Bedok,Public Housing,303.32947368421037
316,Bedok,5-room and Executive,293.770238095236
317,Bedok,Landed Properties,1003.8905263157899
318,Bedok,3-room,233.94285714285752
319,Bedok,Private Housing,318.4652631578938
320,Bedok,1-room / 2-room,203.5978947368426
321,Bedok,Overall,385.35789473684235
322,Bedok,Private Apartments and Condominiums,201.40526315789248
323,Bedok,4-room,324.89333333333343
324,Rochor,Public Housing,326.2031578947369
325,Rochor,5-room and Executive,192.92142857142608
326,Rochor,Landed Properties,1168.7947368421046
327,Rochor,3-room,223.16571428571388
328,Rochor,Private Housing,317.53894736841903
329,Rochor,1-room / 2-room,296.58947368421013
330,Rochor,Overall,448.5410526315789
331,Rochor,Private Apartments and Condominiums,329.3989473684196
332,Rochor,4-room,261.89238095238125
333,Bukit Batok,Public Housing,278.3599999999997
334,Bukit Batok,5-room and Executive,343.1071428571431
335,Bukit Batok,Landed Properties,797.4768421052631
336,Bukit Batok,3-room,349.6257142857139
337,Bukit Batok,Private Housing,324.9042105263161
338,Bukit Batok,1-room / 2-room,178.99052631578957
339,Bukit Batok,Overall,284.81368421052684
340,Bukit Batok,Private Apartments and Condominiums,253.0947368421057
341,Bukit Batok,4-room,549.1828571428578
342,Queenstown,Public Housing,295.9810526315788
343,Queenstown,5-room and Executive,326.3952380952378
344,Queenstown,Landed Properties,728.9578947368391
345,Queenstown,3-room,122.79999999999927
346,Queenstown,Private Housing,105.56315789473592
347,Queenstown,1-room / 2-room,188.27368421052643
348,Queenstown,Overall,293.09894736842125
349,Queenstown,Private Apartments and Condominiums,102.8947368421068
350,Queenstown,4-room,307.05142857142846
351,Changi,Public Housing,456.2442105263153
352,Changi,5-room and Executive,-1.0
353,Changi,Landed Properties,991.3884210526303
354,Changi,3-room,102.02857142857283
355,Changi,Private Housing,406.85157894736767
356,Changi,1-room / 2-room,242.0
357,Changi,Overall,446.74000000000007
358,Changi,Private Apartments and Condominiums,-1.0
359,Changi,4-room,-1.0
360,Ang Mo Kio,Public Housing,300.278947368421
361,Ang Mo Kio,5-room and Executive,295.95238095238165
362,Ang Mo Kio,Landed Properties,868.8694736842106
363,Ang Mo Kio,3-room,269.30857142857127
364,Ang Mo Kio,Private Housing,524.1336842105266
